id,kategori,sub_kategori,pertanyaan,opsiA,opsiB,opsiC,opsiD,kunci
157,Kompetensi Manajerial,Kolaborasi,"(Desa 1) Untuk percepatan site plan perumahan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,Menyusun surat tugas tanpa diskusi,A
158,Kompetensi Manajerial,Kepemimpinan,(Desa 2) Anggota tim kesulitan menyelesaikan tugas sinkronisasi GIS. Sikap pemimpin yang tepat adalah ....,Menegur keras agar disiplin,Mendelegasikan tugas ke pihak luar,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Membiarkan agar belajar mandiri,C
159,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 3) Terdapat perbedaan rekomendasi teknis terkait pengawasan pekerjaan. Langkah Anda adalah ....,Memilih rekomendasi tercepat,Menunda hingga ada instruksi pimpinan,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Mengikuti yang paling senior,C
160,Kompetensi Manajerial,Kolaborasi,"(Desa 4) Untuk percepatan uji material, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menyusun surat tugas tanpa diskusi,Menentukan pembagian kerja sepihak,Menunggu pihak lain menginisiasi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,D
161,Kompetensi Manajerial,Orientasi Hasil,(Kelurahan A) Target verifikasi SIMBG terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,Mengurangi ruang lingkup agar terlihat tercapai,Menambah jam kerja tanpa evaluasi,Menyalahkan tim agar lebih disiplin,A
162,Kompetensi Manajerial,Inovasi,(Kelurahan B) Anda mengusulkan pemanfaatan aplikasi digital untuk site plan perumahan. Langkah awal inovasi yang tepat adalah ....,Menunggu arahan pusat,Membeli lisensi termahal,Menerapkan langsung tanpa pelatihan,"Membuat prototipe kecil, uji terbatas, dan evaluasi",D
163,Kompetensi Manajerial,Orientasi Hasil,(Kelurahan C) Target sinkronisasi GIS terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,Menambah jam kerja tanpa evaluasi,Mengurangi ruang lingkup agar terlihat tercapai,Menyalahkan tim agar lebih disiplin,A
164,Kompetensi Manajerial,Kolaborasi,"(Kecamatan X) Untuk percepatan pengawasan pekerjaan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menyusun surat tugas tanpa diskusi,Menunggu pihak lain menginisiasi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menentukan pembagian kerja sepihak,C
165,Kompetensi Manajerial,Kepemimpinan,(Kecamatan Y) Anggota tim kesulitan menyelesaikan tugas uji material. Sikap pemimpin yang tepat adalah ....,Membiarkan agar belajar mandiri,Mendelegasikan tugas ke pihak luar,Menegur keras agar disiplin,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",D
166,Kompetensi Manajerial,Kepemimpinan,(Kecamatan Z) Anggota tim kesulitan menyelesaikan tugas verifikasi SIMBG. Sikap pemimpin yang tepat adalah ....,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Menegur keras agar disiplin,Membiarkan agar belajar mandiri,Mendelegasikan tugas ke pihak luar,A
167,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 1) Terdapat perbedaan rekomendasi teknis terkait site plan perumahan. Langkah Anda adalah ....,Memilih rekomendasi tercepat,Mengikuti yang paling senior,Menunda hingga ada instruksi pimpinan,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",D
168,Kompetensi Manajerial,Orientasi Hasil,(Desa 2) Target sinkronisasi GIS terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Mengurangi ruang lingkup agar terlihat tercapai,Menyalahkan tim agar lebih disiplin,Menambah jam kerja tanpa evaluasi,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,D
169,Kompetensi Manajerial,Kolaborasi,"(Desa 3) Untuk percepatan pengawasan pekerjaan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menyusun surat tugas tanpa diskusi,Menentukan pembagian kerja sepihak,Menunggu pihak lain menginisiasi,A
170,Kompetensi Manajerial,Kolaborasi,"(Desa 4) Untuk percepatan uji material, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menunggu pihak lain menginisiasi,Menyusun surat tugas tanpa diskusi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menentukan pembagian kerja sepihak,C
171,Kompetensi Manajerial,Kolaborasi,"(Kelurahan A) Untuk percepatan verifikasi SIMBG, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menyusun surat tugas tanpa diskusi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,B
172,Kompetensi Manajerial,Kepemimpinan,(Kelurahan B) Anggota tim kesulitan menyelesaikan tugas site plan perumahan. Sikap pemimpin yang tepat adalah ....,Mendelegasikan tugas ke pihak luar,Membiarkan agar belajar mandiri,Menegur keras agar disiplin,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",D
173,Kompetensi Manajerial,Kepemimpinan,(Kelurahan C) Anggota tim kesulitan menyelesaikan tugas sinkronisasi GIS. Sikap pemimpin yang tepat adalah ....,Menegur keras agar disiplin,Mendelegasikan tugas ke pihak luar,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Membiarkan agar belajar mandiri,C
174,Kompetensi Manajerial,Kolaborasi,"(Kecamatan X) Untuk percepatan pengawasan pekerjaan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menunggu pihak lain menginisiasi,Menyusun surat tugas tanpa diskusi,Menentukan pembagian kerja sepihak,A
175,Kompetensi Manajerial,Integritas,(Kecamatan Y) Anda menemukan ketidaksesuaian data pada laporan uji material. Tindakan paling tepat adalah ....,Mengabaikan karena target hampir tercapai,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengumumkan temuan ke media sosial,Menghapus bagian data yang salah tanpa pencatatan,B
176,Kompetensi Manajerial,Orientasi Hasil,(Kecamatan Z) Target verifikasi SIMBG terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,Mengurangi ruang lingkup agar terlihat tercapai,Menambah jam kerja tanpa evaluasi,Menyalahkan tim agar lebih disiplin,A
177,Kompetensi Manajerial,Kolaborasi,"(Desa 1) Untuk percepatan site plan perumahan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menentukan pembagian kerja sepihak,Menyusun surat tugas tanpa diskusi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menunggu pihak lain menginisiasi,C
178,Kompetensi Manajerial,Integritas,(Desa 2) Anda menemukan ketidaksesuaian data pada laporan sinkronisasi GIS. Tindakan paling tepat adalah ....,Menghapus bagian data yang salah tanpa pencatatan,Mengumumkan temuan ke media sosial,Mengabaikan karena target hampir tercapai,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,D
179,Kompetensi Manajerial,Orientasi Hasil,(Desa 3) Target pengawasan pekerjaan terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Menyalahkan tim agar lebih disiplin,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,Mengurangi ruang lingkup agar terlihat tercapai,Menambah jam kerja tanpa evaluasi,B
180,Kompetensi Manajerial,Integritas,(Desa 4) Anda menemukan ketidaksesuaian data pada laporan uji material. Tindakan paling tepat adalah ....,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengumumkan temuan ke media sosial,Menghapus bagian data yang salah tanpa pencatatan,Mengabaikan karena target hampir tercapai,A
181,Kompetensi Manajerial,Kepemimpinan,(Kelurahan A) Anggota tim kesulitan menyelesaikan tugas verifikasi SIMBG. Sikap pemimpin yang tepat adalah ....,Membiarkan agar belajar mandiri,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Mendelegasikan tugas ke pihak luar,Menegur keras agar disiplin,B
182,Kompetensi Manajerial,Kepemimpinan,(Kelurahan B) Anggota tim kesulitan menyelesaikan tugas site plan perumahan. Sikap pemimpin yang tepat adalah ....,Menegur keras agar disiplin,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Membiarkan agar belajar mandiri,Mendelegasikan tugas ke pihak luar,B
183,Kompetensi Manajerial,Inovasi,(Kelurahan C) Anda mengusulkan pemanfaatan aplikasi digital untuk sinkronisasi GIS. Langkah awal inovasi yang tepat adalah ....,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Membeli lisensi termahal,Menunggu arahan pusat,Menerapkan langsung tanpa pelatihan,A
184,Kompetensi Manajerial,Pengambilan Keputusan,(Kecamatan X) Terdapat perbedaan rekomendasi teknis terkait pengawasan pekerjaan. Langkah Anda adalah ....,Memilih rekomendasi tercepat,Mengikuti yang paling senior,Menunda hingga ada instruksi pimpinan,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",D
185,Kompetensi Manajerial,Kepemimpinan,(Kecamatan Y) Anggota tim kesulitan menyelesaikan tugas uji material. Sikap pemimpin yang tepat adalah ....,Mendelegasikan tugas ke pihak luar,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Membiarkan agar belajar mandiri,Menegur keras agar disiplin,B
186,Kompetensi Manajerial,Kolaborasi,"(Kecamatan Z) Untuk percepatan verifikasi SIMBG, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menunggu pihak lain menginisiasi,Menyusun surat tugas tanpa diskusi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menentukan pembagian kerja sepihak,C
187,Kompetensi Manajerial,Kolaborasi,"(Desa 1) Untuk percepatan site plan perumahan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menunggu pihak lain menginisiasi,Menyusun surat tugas tanpa diskusi,Menentukan pembagian kerja sepihak,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,D
188,Kompetensi Manajerial,Integritas,(Desa 2) Anda menemukan ketidaksesuaian data pada laporan sinkronisasi GIS. Tindakan paling tepat adalah ....,Mengabaikan karena target hampir tercapai,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Mengumumkan temuan ke media sosial,Menghapus bagian data yang salah tanpa pencatatan,B
189,Kompetensi Manajerial,Integritas,(Desa 3) Anda menemukan ketidaksesuaian data pada laporan pengawasan pekerjaan. Tindakan paling tepat adalah ....,Mengumumkan temuan ke media sosial,Meminta klarifikasi dan perbaikan disertai penelusuran penyebab,Menghapus bagian data yang salah tanpa pencatatan,Mengabaikan karena target hampir tercapai,B
190,Kompetensi Manajerial,Inovasi,(Desa 4) Anda mengusulkan pemanfaatan aplikasi digital untuk uji material. Langkah awal inovasi yang tepat adalah ....,Membeli lisensi termahal,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Menerapkan langsung tanpa pelatihan,Menunggu arahan pusat,B
191,Kompetensi Manajerial,Kepemimpinan,(Kelurahan A) Anggota tim kesulitan menyelesaikan tugas verifikasi SIMBG. Sikap pemimpin yang tepat adalah ....,Mendelegasikan tugas ke pihak luar,Menegur keras agar disiplin,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Membiarkan agar belajar mandiri,C
192,Kompetensi Manajerial,Kolaborasi,"(Kelurahan B) Untuk percepatan site plan perumahan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Menunggu pihak lain menginisiasi,Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menentukan pembagian kerja sepihak,Menyusun surat tugas tanpa diskusi,B
193,Kompetensi Manajerial,Inovasi,(Kelurahan C) Anda mengusulkan pemanfaatan aplikasi digital untuk sinkronisasi GIS. Langkah awal inovasi yang tepat adalah ....,Menerapkan langsung tanpa pelatihan,Membeli lisensi termahal,"Membuat prototipe kecil, uji terbatas, dan evaluasi",Menunggu arahan pusat,C
194,Kompetensi Manajerial,Kepemimpinan,(Kecamatan X) Anggota tim kesulitan menyelesaikan tugas pengawasan pekerjaan. Sikap pemimpin yang tepat adalah ....,Mendelegasikan tugas ke pihak luar,Membiarkan agar belajar mandiri,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Menegur keras agar disiplin,C
195,Kompetensi Manajerial,Kepemimpinan,(Kecamatan Y) Anggota tim kesulitan menyelesaikan tugas uji material. Sikap pemimpin yang tepat adalah ....,Mendelegasikan tugas ke pihak luar,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",Menegur keras agar disiplin,Membiarkan agar belajar mandiri,B
196,Kompetensi Manajerial,Kepemimpinan,(Kecamatan Z) Anggota tim kesulitan menyelesaikan tugas verifikasi SIMBG. Sikap pemimpin yang tepat adalah ....,Mendelegasikan tugas ke pihak luar,Menegur keras agar disiplin,Membiarkan agar belajar mandiri,"Memberi bimbingan, dukungan sumber daya, dan memantau progres",D
197,Kompetensi Manajerial,Pengambilan Keputusan,(Desa 1) Terdapat perbedaan rekomendasi teknis terkait site plan perumahan. Langkah Anda adalah ....,Menunda hingga ada instruksi pimpinan,"Menghimpun data tambahan, menilai risiko, dan memutuskan objektif",Memilih rekomendasi tercepat,Mengikuti yang paling senior,B
198,Kompetensi Manajerial,Orientasi Hasil,(Desa 2) Target sinkronisasi GIS terancam tidak tercapai. Fokus tindakan paling tepat adalah ....,Mengurangi ruang lingkup agar terlihat tercapai,Menyalahkan tim agar lebih disiplin,Menambah jam kerja tanpa evaluasi,Menganalisis hambatan kunci dan menyusun rencana pemulihan terukur,D
199,Kompetensi Manajerial,Kolaborasi,"(Desa 3) Untuk percepatan pengawasan pekerjaan, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menunggu pihak lain menginisiasi,Menentukan pembagian kerja sepihak,Menyusun surat tugas tanpa diskusi,A
200,Kompetensi Manajerial,Kolaborasi,"(Desa 4) Untuk percepatan uji material, diperlukan keterlibatan beberapa pihak. Upaya kolaborasi awal yang tepat adalah ....",Pertemuan lintas pihak untuk menyamakan tujuan dan peran,Menentukan pembagian kerja sepihak,Menunggu pihak lain menginisiasi,Menyusun surat tugas tanpa diskusi,A
201,Kompetensi Sosial Kultural,Pelayanan Publik,(Kelurahan A) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Melayani yang paling vokal terlebih dahulu,Mengurangi waktu konsultasi per orang tanpa standar,Menutup layanan lebih awal,Nomor antrian terjadwal dan ringkasan informasi,D
202,Kompetensi Sosial Kultural,Empati,(Kelurahan B) Warga menyampaikan keluhan keras terkait keterlambatan layanan site plan perumahan. Sikap Anda yang paling tepat adalah ....,Meminta warga tenang sebelum mendengar,Mengakhiri percakapan agar tidak memakan waktu,Meminta warga membuat surat resmi terlebih dahulu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",D
203,Kompetensi Sosial Kultural,Toleransi,(Kelurahan C) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Memfasilitasi dialog yang adil dan menghargai perbedaan,Menutup forum agar tak memicu konflik,Mengabaikan pandangan minoritas,Mendukung pihak yang sepaham,A
204,Kompetensi Sosial Kultural,Toleransi,(Kecamatan X) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Menutup forum agar tak memicu konflik,Mengabaikan pandangan minoritas,Mendukung pihak yang sepaham,Memfasilitasi dialog yang adil dan menghargai perbedaan,D
205,Kompetensi Sosial Kultural,Empati,(Kecamatan Y) Warga menyampaikan keluhan keras terkait keterlambatan layanan uji material. Sikap Anda yang paling tepat adalah ....,Meminta warga tenang sebelum mendengar,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga membuat surat resmi terlebih dahulu,Mengakhiri percakapan agar tidak memakan waktu,B
206,Kompetensi Sosial Kultural,Toleransi,(Kecamatan Z) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Mengabaikan pandangan minoritas,Mendukung pihak yang sepaham,Memfasilitasi dialog yang adil dan menghargai perbedaan,Menutup forum agar tak memicu konflik,C
207,Kompetensi Sosial Kultural,Empati,(Desa 1) Warga menyampaikan keluhan keras terkait keterlambatan layanan site plan perumahan. Sikap Anda yang paling tepat adalah ....,Mengakhiri percakapan agar tidak memakan waktu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga membuat surat resmi terlebih dahulu,Meminta warga tenang sebelum mendengar,B
208,Kompetensi Sosial Kultural,Empati,(Desa 2) Warga menyampaikan keluhan keras terkait keterlambatan layanan sinkronisasi GIS. Sikap Anda yang paling tepat adalah ....,Meminta warga membuat surat resmi terlebih dahulu,Meminta warga tenang sebelum mendengar,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Mengakhiri percakapan agar tidak memakan waktu,C
209,Kompetensi Sosial Kultural,Pelayanan Publik,(Desa 3) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Mengurangi waktu konsultasi per orang tanpa standar,Melayani yang paling vokal terlebih dahulu,Menutup layanan lebih awal,Nomor antrian terjadwal dan ringkasan informasi,D
210,Kompetensi Sosial Kultural,Toleransi,(Desa 4) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Memfasilitasi dialog yang adil dan menghargai perbedaan,Menutup forum agar tak memicu konflik,Mendukung pihak yang sepaham,Mengabaikan pandangan minoritas,A
211,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kelurahan A) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,Menghindari interaksi langsung,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,D
212,Kompetensi Sosial Kultural,Komunikasi Publik,(Kelurahan B) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Menggunakan istilah teknis lengkap,Menunjuk pihak lain menyampaikan,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Membagikan dokumen tanpa penjelasan,C
213,Kompetensi Sosial Kultural,Empati,(Kelurahan C) Warga menyampaikan keluhan keras terkait keterlambatan layanan sinkronisasi GIS. Sikap Anda yang paling tepat adalah ....,Mengakhiri percakapan agar tidak memakan waktu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,B
214,Kompetensi Sosial Kultural,Empati,(Kecamatan X) Warga menyampaikan keluhan keras terkait keterlambatan layanan pengawasan pekerjaan. Sikap Anda yang paling tepat adalah ....,Mengakhiri percakapan agar tidak memakan waktu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,B
215,Kompetensi Sosial Kultural,Empati,(Kecamatan Y) Warga menyampaikan keluhan keras terkait keterlambatan layanan uji material. Sikap Anda yang paling tepat adalah ....,Mengakhiri percakapan agar tidak memakan waktu,Meminta warga membuat surat resmi terlebih dahulu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,C
216,Kompetensi Sosial Kultural,Empati,(Kecamatan Z) Warga menyampaikan keluhan keras terkait keterlambatan layanan verifikasi SIMBG. Sikap Anda yang paling tepat adalah ....,Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Mengakhiri percakapan agar tidak memakan waktu,C
217,Kompetensi Sosial Kultural,Toleransi,(Desa 1) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Mengabaikan pandangan minoritas,Menutup forum agar tak memicu konflik,Memfasilitasi dialog yang adil dan menghargai perbedaan,Mendukung pihak yang sepaham,C
218,Kompetensi Sosial Kultural,Toleransi,(Desa 2) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Memfasilitasi dialog yang adil dan menghargai perbedaan,Mengabaikan pandangan minoritas,Mendukung pihak yang sepaham,Menutup forum agar tak memicu konflik,A
219,Kompetensi Sosial Kultural,Empati,(Desa 3) Warga menyampaikan keluhan keras terkait keterlambatan layanan pengawasan pekerjaan. Sikap Anda yang paling tepat adalah ....,Mengakhiri percakapan agar tidak memakan waktu,Meminta warga membuat surat resmi terlebih dahulu,Meminta warga tenang sebelum mendengar,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",D
220,Kompetensi Sosial Kultural,Adaptasi Sosial,(Desa 4) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menghindari interaksi langsung,C
221,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kelurahan A) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Mengandalkan pihak lain yang paham budaya lokal,Menerapkan prosedur tanpa penyesuaian,Menghindari interaksi langsung,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,D
222,Kompetensi Sosial Kultural,Empati,(Kelurahan B) Warga menyampaikan keluhan keras terkait keterlambatan layanan site plan perumahan. Sikap Anda yang paling tepat adalah ....,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,Mengakhiri percakapan agar tidak memakan waktu,A
223,Kompetensi Sosial Kultural,Pelayanan Publik,(Kelurahan C) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Mengurangi waktu konsultasi per orang tanpa standar,Melayani yang paling vokal terlebih dahulu,Menutup layanan lebih awal,Nomor antrian terjadwal dan ringkasan informasi,D
224,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kecamatan X) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menerapkan prosedur tanpa penyesuaian,Menghindari interaksi langsung,Mengandalkan pihak lain yang paham budaya lokal,A
225,Kompetensi Sosial Kultural,Pelayanan Publik,(Kecamatan Y) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Melayani yang paling vokal terlebih dahulu,Mengurangi waktu konsultasi per orang tanpa standar,Menutup layanan lebih awal,Nomor antrian terjadwal dan ringkasan informasi,D
226,Kompetensi Sosial Kultural,Komunikasi Publik,(Kecamatan Z) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Membagikan dokumen tanpa penjelasan,Menggunakan istilah teknis lengkap,Menunjuk pihak lain menyampaikan,A
227,Kompetensi Sosial Kultural,Adaptasi Sosial,(Desa 1) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menghindari interaksi langsung,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,B
228,Kompetensi Sosial Kultural,Empati,(Desa 2) Warga menyampaikan keluhan keras terkait keterlambatan layanan sinkronisasi GIS. Sikap Anda yang paling tepat adalah ....,Mengakhiri percakapan agar tidak memakan waktu,Meminta warga membuat surat resmi terlebih dahulu,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Meminta warga tenang sebelum mendengar,C
229,Kompetensi Sosial Kultural,Komunikasi Publik,(Desa 3) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Menunjuk pihak lain menyampaikan,Membagikan dokumen tanpa penjelasan,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",Menggunakan istilah teknis lengkap,C
230,Kompetensi Sosial Kultural,Adaptasi Sosial,(Desa 4) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Menghindari interaksi langsung,Mengandalkan pihak lain yang paham budaya lokal,Menerapkan prosedur tanpa penyesuaian,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,D
231,Kompetensi Sosial Kultural,Adaptasi Sosial,(Kelurahan A) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,Menghindari interaksi langsung,A
232,Kompetensi Sosial Kultural,Pelayanan Publik,(Kelurahan B) Antrian layanan konsultasi teknis memanjang. Tindakan paling tepat untuk meningkatkan kualitas layanan adalah ....,Menutup layanan lebih awal,Melayani yang paling vokal terlebih dahulu,Nomor antrian terjadwal dan ringkasan informasi,Mengurangi waktu konsultasi per orang tanpa standar,C
233,Kompetensi Sosial Kultural,Toleransi,(Kelurahan C) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Mendukung pihak yang sepaham,Mengabaikan pandangan minoritas,Memfasilitasi dialog yang adil dan menghargai perbedaan,Menutup forum agar tak memicu konflik,C
234,Kompetensi Sosial Kultural,Toleransi,(Kecamatan X) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Menutup forum agar tak memicu konflik,Mendukung pihak yang sepaham,Mengabaikan pandangan minoritas,Memfasilitasi dialog yang adil dan menghargai perbedaan,D
235,Kompetensi Sosial Kultural,Komunikasi Publik,(Kecamatan Y) Anda menyampaikan kriteria rumah layak huni kepada masyarakat. Cara komunikasi paling tepat adalah ....,Menunjuk pihak lain menyampaikan,Membagikan dokumen tanpa penjelasan,Menggunakan istilah teknis lengkap,"Bahasa sederhana, contoh visual, dan sesi tanya jawab",D
236,Kompetensi Sosial Kultural,Toleransi,(Kecamatan Z) Dalam forum koordinasi terdapat perbedaan pandangan tajam. Tindakan yang mencerminkan toleransi adalah ....,Menutup forum agar tak memicu konflik,Mendukung pihak yang sepaham,Mengabaikan pandangan minoritas,Memfasilitasi dialog yang adil dan menghargai perbedaan,D
237,Kompetensi Sosial Kultural,Adaptasi Sosial,(Desa 1) Anda ditempatkan di wilayah dengan budaya berbeda. Sikap yang tepat adalah ....,Mempelajari kebiasaan setempat dan menyesuaikan pendekatan layanan,Menghindari interaksi langsung,Menerapkan prosedur tanpa penyesuaian,Mengandalkan pihak lain yang paham budaya lokal,A
238,Kompetensi Sosial Kultural,Empati,(Desa 2) Warga menyampaikan keluhan keras terkait keterlambatan layanan sinkronisasi GIS. Sikap Anda yang paling tepat adalah ....,"Mendengarkan aktif, mengakui perasaan warga, dan menjelaskan tindak lanjut",Mengakhiri percakapan agar tidak memakan waktu,Meminta warga tenang sebelum mendengar,Meminta warga membuat surat resmi terlebih dahulu,A
